path	title	property_type	offer_type	address	area	rooms	energy_class	year_built	condition	city	price	price_per_m2	rent_price	monthly_costs	deposit	availability	rental_term	land_area	source_country	source_url	error	population	elevation_m	historic_sites	universities	nicknames	train_station	shopping_centers	hospitals	parks	sports_facilities
file:/D:/Users/admin/Tomas/FIIT/ING/1.Semester/VINF/vinf_project/VinfProject/pages/Austria/https___www.immobilienscout24.at_expose_606da96a47f998002247385b.html	Modernes Studentenapartment in Wien Heiligenstadt - Keine Nebenkosten	flat	rent	Alois-Mock-Gasse  12, 1190 Wien	18	1	G	2021	neubau	Vienna	NaN	35,94 €	629 €		2	15.08.2025	NaN	NaN	Austria	https___www.immobilienscout24.at_expose_606da96a47f998002247385b.html		2028499	151–542	The, Catholic, Judenplatz Holocaust	Radboud, University of Music		yes	""	Vienna General	Stadt	yes
file:/D:/Users/admin/Tomas/FIIT/ING/1.Semester/VINF/vinf_project/VinfProject/pages/Austria/https___www.immobilienscout24.at_expose_61234ee8e9c2aa0022219b0d.html	Unterer Schreiberweg 49 - Leben zwischen Weinbergen &amp; Wienerwald	flat	NaN	Unterer Schreiberweg 49, 1190 Wien	67	3	G	2022	neubau	Vienna	NaN	NaN	NaN		NaN	NaN	NaN	NaN	Austria	https___www.immobilienscout24.at_expose_61234ee8e9c2aa0022219b0d.html		2028499	151–542	The, Catholic, Judenplatz Holocaust	Radboud, University of Music		yes	""	Vienna General	Stadt	yes
file:/D:/Users/admin/Tomas/FIIT/ING/1.Semester/VINF/vinf_project/VinfProject/pages/Austria/https___www.immobilienscout24.at_expose_6221daade5cacea45c023057.html	Heavenly Am Schafberg	flat	NaN	1170 Wien	116	5	G	1017	neubau	Vienna	NaN	NaN	NaN		NaN	NaN	NaN	NaN	Austria	https___www.immobilienscout24.at_expose_6221daade5cacea45c023057.html		2028499	151–542	The, Catholic, Judenplatz Holocaust	Radboud, University of Music		yes	""	Vienna General	Stadt	yes
file:/D:/Users/admin/Tomas/FIIT/ING/1.Semester/VINF/vinf_project/VinfProject/pages/Austria/https___www.immobilienscout24.at_expose_62d8188f3dbae5ba4eb5457f.html	Top geschnittener 2-Zimmer Wohntraum mit bester City-Anbindung. Moderne Ausstattung	flat	buy	Pastorstraße 28, 1210 Wien	56	2	G	NaN	neubau	Vienna	399.900 €	7.162,82 €	NaN		NaN	NaN	NaN	NaN	Austria	https___www.immobilienscout24.at_expose_62d8188f3dbae5ba4eb5457f.html		2028499	151–542	The, Catholic, Judenplatz Holocaust	Radboud, University of Music		yes	""	Vienna General	Stadt	yes
file:/D:/Users/admin/Tomas/FIIT/ING/1.Semester/VINF/vinf_project/VinfProject/pages/Austria/https___www.immobilienscout24.at_expose_62dda89d69804427d29374f8.html	Freundliche 2-Zimmer Wohnung mit ganz viel Licht für ein gemütliches Zuhause	flat	buy	Pastorstraße 28, 1210 Wien	56	2	G	NaN	neubau	Vienna	439.900 €	7.890,58 €	NaN		NaN	NaN	NaN	NaN	Austria	https___www.immobilienscout24.at_expose_62dda89d69804427d29374f8.html		2028499	151–542	The, Catholic, Judenplatz Holocaust	Radboud, University of Music		yes	""	Vienna General	Stadt	yes
file:/D:/Users/admin/Tomas/FIIT/ING/1.Semester/VINF/vinf_project/VinfProject/pages/Austria/https___www.immobilienscout24.at_expose_62dda89dc7cf553cfbfd6759.html	"Mehr als nur \"2 Zimmer, Küche, Bad\". 2-Zimmer Wohnung mit West-Balkon für beste Aussichten"	flat	buy	Pastorstraße 28, 1210 Wien	56	2	G	NaN	neubau	Vienna	419.900 €	7.522,39 €	NaN		NaN	NaN	NaN	NaN	Austria	https___www.immobilienscout24.at_expose_62dda89dc7cf553cfbfd6759.html		2028499	151–542	The, Catholic, Judenplatz Holocaust	Radboud, University of Music		yes	""	Vienna General	Stadt	yes
file:/D:/Users/admin/Tomas/FIIT/ING/1.Semester/VINF/vinf_project/VinfProject/pages/Austria/https___www.immobilienscout24.at_expose_6321edbffec70ba71dfa4826.html	STILVOLLER 2 ZI ERSTBEZUG - Terrasse. Garten. Fitness. Natur	flat	buy	Stock im Weg 3, 1130 Wien	60	2	B	2023	neubau	Vienna	399.000 €	6.610,34 €	NaN		NaN	sofort	NaN	30,56	Austria	https___www.immobilienscout24.at_expose_6321edbffec70ba71dfa4826.html		2028499	151–542	The, Catholic, Judenplatz Holocaust	Radboud, University of Music		yes	""	Vienna General	Stadt	yes
file:/D:/Users/admin/Tomas/FIIT/ING/1.Semester/VINF/vinf_project/VinfProject/pages/Austria/https___www.immobilienscout24.at_expose_632a32881887f9088a052dd7.html	ERSTBEZUG-GENOSSENSCHAFTSWOHNUNG in Strasshof - Top 12	flat	rent	Margarete-Sandhäugl-Straße 5, 2231 Strasshof an der Nordbahn	62	3	A+	2020	neubau	Strasshof an der Nordbahn	NaN	14,96 €	1.027,53 €	NaN	NaN	ab sofort	NaN	NaN	Austria	https___www.immobilienscout24.at_expose_632a32881887f9088a052dd7.html		Austria population Wikidata	165	""	""		no	""	""	""	no
file:/D:/Users/admin/Tomas/FIIT/ING/1.Semester/VINF/vinf_project/VinfProject/pages/Austria/https___www.immobilienscout24.at_expose_633c00f72150d13a8b8178d6.html	Klassische Mehrfamilienvilla mit Ausbaupotential	flat	buy	1190 Wien	342	12	G	1929	neubau	Vienna	3.390.000 €	9.914,31 €	NaN		NaN	NaN	NaN	622	Austria	https___www.immobilienscout24.at_expose_633c00f72150d13a8b8178d6.html		2028499	151–542	The, Catholic, Judenplatz Holocaust	Radboud, University of Music		yes	""	Vienna General	Stadt	yes
file:/D:/Users/admin/Tomas/FIIT/ING/1.Semester/VINF/vinf_project/VinfProject/pages/Austria/https___www.immobilienscout24.at_expose_6377727dfec800a3e797c361.html	Quartier Starhemberg - Geschichte bewahrt. Zukunft gebaut. Jetzt bezugsbereit	flat	NaN	1040 Wien	51	5	G	1900	neubau	Vienna	NaN	NaN	NaN		NaN	bezugsfertig	NaN	NaN	Austria	https___www.immobilienscout24.at_expose_6377727dfec800a3e797c361.html		2028499	151–542	The, Catholic, Judenplatz Holocaust	Radboud, University of Music		yes	""	Vienna General	Stadt	yes
